year,is_partial_year,base_payment,actual_payment,payment_price_only,payment_rate_only,total_change,price_effect,rate_effect,interaction,price_effect_share,rate_effect_share,interaction_share
1997,False,1843.028796049347,1030.1695442061778,697.7524162588911,2721.068520213559,-812.8592518431692,-1145.2763797904558,878.0397241642122,-545.6225962169256,140.89479540197473,-108.01866647556086,67.12387107358612
1998,False,1843.028796049347,1025.786716527682,731.0761092422898,2585.9885629758255,-817.2420795216649,-1111.952686807057,742.9597669264786,-448.2491596410864,136.06160459308305,-90.9106108879435,54.849006294860445
1999,False,1843.028796049347,1122.9460439171455,770.5352114031374,2685.9536913053344,-720.0827521322014,-1072.4935846462095,842.9248952559874,-490.5140627419794,148.94032407671224,-117.05944806482924,68.11912398811698
2000,False,1843.028796049347,1233.6462229219067,806.264947201222,2819.9731625132217,-609.3825731274403,-1036.763848848125,976.9443664638748,-549.5630907431901,170.1334915974544,-160.3170831502538,90.18359155279943
2001,False,1843.028796049347,1171.0567675257973,832.9720224442348,2591.0730327116135,-671.9720285235496,-1010.0567736051122,748.0442366622665,-409.9594915807039,150.31232413414574,-111.32074028525591,61.008416151110175
2002,False,1843.028796049347,1215.5256651154941,895.1682292038636,2502.600885575779,-627.5031309338528,-947.8605668454834,659.5720895264321,-339.2146536148016,151.0527231051219,-105.11056551141891,54.057842406296984
2003,False,1843.028796049347,1183.9353066720676,924.5219515430306,2360.1677160983836,-659.0934893772794,-918.5068445063164,517.1389200490366,-257.72556491999967,139.35911358707764,-78.46214966220295,39.103036075125296
2004,False,1843.028796049347,1346.4195375711788,1049.756480047428,2363.8720279154777,-496.60925847816816,-793.2723160019189,520.8432318661307,-224.18017434238004,159.73772185256036,-104.87988755228331,45.14216569972294
2005,False,1843.028796049347,1463.1705311819217,1138.298855627867,2369.0311284830946,-379.8582648674253,-704.72994042148,526.0023324337476,-201.13065687969288,185.52444572120564,-138.4733152027976,52.948869481591956
2006,False,1843.028796049347,1576.5887998460748,1172.9458721593428,2477.2656834504483,-266.43999620327213,-670.0829238900042,634.2368874011013,-230.59395971436925,251.4948706795451,-238.04117116006483,86.54630048051972
2007,False,1843.028796049347,1575.3305431578544,1178.7203749145888,2463.1622699712525,-267.69825289149253,-664.3084211347582,620.1334739219055,-223.52330567863987,248.15568049449527,-231.65391153048253,83.49823103598726
2008,False,1843.028796049347,1440.0437425548614,1104.6142562222653,2402.6867932847395,-402.98505349448556,-738.4145398270816,559.6579972353925,-224.22851090279642,183.2362102325927,-138.8781028929776,55.641892660384926
2009,False,1843.028796049347,1244.9816022834734,1037.726265973999,2211.119655342315,-598.0471937658735,-805.3025300753479,368.09085929296816,-160.83552298349377,134.65534801767026,-61.54879800958821,26.89344999191794
2010,False,1843.028796049347,1247.767851844414,1071.6514696610693,2145.9141771729255,-595.2609442049329,-771.3773263882777,302.88538112357855,-126.76899894023381,129.58641649479904,-50.882790828504774,21.296374333705746
2011,False,1843.028796049347,1234.8918538356857,1082.238058045687,2102.9950200936755,-608.1369422136613,-760.79073800366,259.96622404432856,-107.31242825432992,125.10187840822957,-42.747974345717786,17.64609593748821
2012,False,1843.028796049347,1251.4939039308579,1176.0737278184345,1961.2199885659516,-591.5348921184891,-666.9550682309125,118.19119251660459,-42.77101640418118,112.74991164803785,-19.980426191483218,7.230514543445361
2013,False,1843.028796049347,1402.824767688542,1281.0974966794709,2018.1496329221955,-440.20402836080507,-561.9312993698761,175.12083687284849,-53.39356586377744,127.65246639435557,-39.78174337135187,12.12927697699631
2014,False,1843.028796049347,1531.1242569816477,1375.173770733687,2052.036008832022,-311.90453906769926,-467.85502531566,209.0072127826752,-53.05672653471447,149.99942825907752,-67.00999395757748,17.010565698499963
2015,False,1843.028796049347,1532.0338983419451,1415.4749878796745,1994.7951149582357,-310.99489770740183,-427.5538081696725,151.7663189088887,-35.20740844661805,137.47936423443662,-48.80026007747477,11.320895843038164
2016,False,1843.028796049347,1561.31740255255,1468.2876276620286,1959.8019342159005,-281.711393496797,-374.74116838731834,116.77313816655351,-23.74336327603214,133.02307859677643,-41.45133667370865,8.428258076932234
2017,False,1843.028796049347,1700.3101631855357,1551.5367090501582,2019.7527874701411,-142.7186328638113,-291.4920869991888,176.72399142079416,-27.950537285416658,204.24248827925925,-123.82685279043582,19.58436451117658
2018,False,1843.028796049347,1798.899254706487,1565.2511530938675,2118.141309822718,-44.129541342859966,-277.77764295547945,275.1125137733711,-41.464412160751635,629.4596193450424,-623.4202880920799,93.96066874703754
2019,False,1843.028796049347,1680.404208223783,1541.0704228062748,2009.6637369233688,-162.62458782556405,-301.9583732430722,166.63494087402182,-27.301155456513698,185.6781789768234,-102.46601888563087,16.787839908807474
2020,False,1843.028796049347,1601.5051492146915,1579.0858992783112,1869.1954049953583,-241.52364683465544,-263.94289677103575,26.166608946011365,-3.7473590096310545,109.28242440448422,-10.833973935448544,1.5515495309643355
2021,False,1843.028796049347,1843.028796049347,1843.028796049347,1843.028796049347,0.0,0.0,0.0,0.0,,,
2022,False,1843.028796049347,2560.657813927696,2083.3924732364612,2265.2314187188076,717.6290178783493,240.36367718711426,422.20262266946065,55.062718021774344,33.4941412901255,58.832991998803394,7.672866711071101
2023,False,1843.028796049347,2845.4636320637,2052.4748230677483,2555.0965853827965,1002.4348360143531,209.4460270184013,712.0677893334496,80.9210196625022,20.893729895815632,71.03382322232605,8.072446881858319
2024,False,1843.028796049347,2779.1124435247125,2016.1435765659921,2540.485866388126,936.0836474753655,173.11478051664517,697.457070338779,65.51179661994138,18.493516149282048,74.50798571472039,6.998498135997555
2025,False,1843.028796049347,2727.2773002426075,1998.9403704409888,2514.557549332977,884.2485041932605,155.9115743916418,671.5287532836301,56.80817651798861,17.63209930831457,75.94344238063438,6.424458311051061
2026,True,1843.028796049347,2632.84226884087,1968.3836266944786,2465.171956890486,789.813472791523,125.35483064513164,622.143160841139,42.31548130525243,15.871447495327793,78.77089746800992,5.357655036662297
