year,is_partial_year,months_observed,median_price,mortgage_rate,income_young,income_all_ages,cpi,monthly_pi,monthly_piti,annual_housing_cost,required_income,affordability_index,affordability_index_all_ages,income_shortfall,price_to_income,payment_to_income,down_payment,years_to_save_down,median_price_real2024,monthly_piti_real2024,required_income_real2024,income_young_real2024,down_payment_real2024,hor_under_35,hor_all,hor_gap_under35,student_debt_per_capita,student_debt_pct_income,dti_headroom
1998,False,12,151925.0,6.946291666666667,40070.0,38890.0,163.00833333333333,804.2294248610154,1025.786716527682,12309.440598332185,43962.28785118637,91.14630279397224,88.46218406931821,3892.2878511863673,3.7914898926877965,0.3071984177272819,30385.0,7.582979785375593,292369.0647973008,1974.054981028088,84602.35632977518,77111.91987117224,58473.812959460156,39.35,66.275,26.925000000000004,,,0.052801582272718084
1999,False,12,160125.0,7.4285,42090.0,40700.0,166.58333333333334,889.4304189171454,1122.9460439171455,13475.352527005747,48126.25902502052,87.45745223645514,84.56921610890292,6036.259025020518,3.8043478260869565,0.32015567895000585,32025.0,7.608695652173913,301536.2817658829,2114.6540184636,90628.0293627257,79260.96549274637,60307.256353176585,39.725,66.8,27.074999999999996,,,0.039844321049994136
2000,False,12,167550.0,8.061625000000001,44410.0,41990.0,172.1916666666667,989.3024729219067,1233.6462229219067,14803.754675062879,52870.55241093885,83.9976092075248,79.42039204287248,8460.55241093885,3.772798919162351,0.333342820875093,33510.0,7.545597838324702,305241.9948216619,2247.4523067077967,96319.38457319127,80905.98024488214,61048.39896433238,40.75,67.375,26.625,,,0.026657179124907004
2001,False,12,173100.0,6.971041666666667,45080.0,42230.0,177.04166666666666,918.6192675257972,1171.0567675257973,14052.681210309569,50188.14717967703,89.82200486224465,84.14337323275491,5108.147179677027,3.839840283939663,0.31172762223401884,34620.0,7.679680567879326,306713.971193222,2074.9825052601677,88927.82165400719,79876.75228995059,61342.7942386444,41.6375,68.0125,26.375,,,0.048272377765981145
2002,False,12,186025.0,6.536708333333333,45330.0,42410.0,179.86666666666667,944.2392067821609,1215.5256651154941,14586.30798138593,52093.95707637831,87.01585086642345,81.41059420350803,6763.957076378312,4.103794396646812,0.3217804540345451,37205.0,8.207588793293624,324438.6663500741,2119.9490697721153,90854.96013309063,79058.21661415863,64887.733270014825,,,,,,0.038219545965454904
2003,False,12,192125.0,5.819541666666667,44780.0,43320.0,184.0,903.7530150054009,1183.9353066720676,14207.22368006481,50740.08457166003,88.25369602361891,85.3762865507631,5960.084571660031,4.290419830281375,0.3172671657004201,38425.0,8.58083966056275,327550.32755887683,2018.469212798725,86505.82340565963,76344.58643115942,65510.06551177536,41.5,67.975,26.474999999999994,,,0.042732834299579914
2004,False,12,218150.0,5.8385,45470.0,44330.0,188.90833333333333,1028.284120904512,1346.4195375711788,16157.034450854146,57703.69446733623,78.7991140250799,76.82350395275549,12233.69446733623,4.797668792610512,0.35533394437770277,43630.0,9.595337585221024,362256.4121487494,2235.84281882885,95821.83509266499,75506.7570955931,72451.28242974987,43.075,69.0,25.924999999999997,,,0.004666055622297216
2005,False,12,236550.0,5.8648750000000005,47380.0,46330.0,195.26666666666665,1118.2017811819217,1463.1705311819217,17558.04637418306,62707.30847922521,75.5573810279178,73.88293505748061,15327.308479225212,4.99261291684255,0.3705792818527451,47310.0,9.9852258336851,380020.3208859679,2350.600442911207,100740.01898190888,76116.51998975761,76004.06417719359,43.05,68.875,25.825000000000003,,,-0.010579281852745093
2006,False,12,243750.0,6.410833333333333,49160.0,48200.0,201.5583333333333,1221.1200498460748,1576.5887998460748,18919.065598152898,67568.09142197463,72.75623591761257,71.33544693305382,18408.091421974634,4.958299430431245,0.38484673714712975,48750.0,9.91659886086249,379363.7646256254,2453.746307184425,105160.55602218963,76510.86223177741,75872.75292512508,42.625,68.775,26.150000000000006,1673.2812289099372,3.4037453802073583,-0.02484673714712976
2007,False,12,244950.0,6.340458333333333,51020.0,50230.0,207.34416666666667,1218.1117931578544,1575.3305431578544,18903.966517894252,67514.1661353366,75.569325551214,74.39920075338063,16494.166135336607,4.801058408467267,0.3705207079163907,48990.0,9.602116816934535,370593.33358787524,2383.3721065183404,102144.51885078599,77189.92398307163,74118.66671757505,41.65,68.15,26.500000000000007,1873.680767129402,3.672443683123093,-0.010520707916390704
2008,False,12,229550.0,6.036124999999999,51400.0,50300.0,215.25425,1105.2833258881947,1440.0437425548614,17280.524910658336,61716.16039520834,83.28450712236905,81.50215385710436,10316.160395208339,4.465953307392996,0.336196982697633,45910.0,8.931906614785992,334531.90428682975,2098.6302568207843,89941.29672089075,74907.16567346135,66906.38085736596,40.95,67.825,26.875,2119.9449448449686,4.124406507480484,0.023803017302367002
2009,False,12,215650.0,5.0413749999999995,50200.0,49780.0,214.56466666666665,930.4920189501399,1244.9816022834734,14939.779227401681,53356.354383577425,94.08438897289257,93.29722874642614,3156.3543835774253,4.2958167330677295,0.2976051638924638,43130.0,8.591633466135459,315284.9473895982,1820.1899326545913,78008.13997091104,73393.48184075042,63056.98947791964,39.75,67.375,27.625,2390.4500090998326,4.76185260776859,0.06239483610753621
2010,False,12,222700.0,4.6905833333333335,49880.0,49280.0,218.0761666666667,922.9970185110806,1247.767851844414,14973.214222132969,53475.76507904631,93.27589783197837,92.15389424939643,3595.7650790463085,4.464715316760224,0.30018472778935384,44540.0,8.929430633520449,320349.4576436214,1794.8888846138511,76923.8093405936,71751.37380899793,64069.891528724285,39.075,66.85,27.77499999999999,2672.766002540031,5.358392146231016,0.05981527221064614
2011,False,12,224900.0,4.4558333333333335,50770.0,50050.0,224.923,906.912687169019,1234.8918538356857,14818.702246028228,52923.93659295795,95.93012778031982,94.56968476275372,2153.936592957951,4.429781366948986,0.29187910667772754,44980.0,8.859562733897972,313666.08876519225,1722.2930095181725,73812.55755077882,70808.48077638421,62733.21775303845,37.75,66.15,28.400000000000006,2963.6766409351408,5.837456452501755,0.06812089332227245
2012,False,12,244400.0,3.6559166666666663,51380.0,51020.0,229.5860833333333,895.0772372641911,1251.4939039308579,15017.926847170294,53635.45302560819,95.79484669490658,95.12364885897496,2255.4530256081925,4.756714674970806,0.29229129714227897,48880.0,9.513429349941612,333939.36958286894,1709.9962574282906,73285.55388978389,70203.7839982316,66787.87391657378,36.675,65.45,28.775000000000006,3257.7117963939463,6.340427785897132,0.06770870285772101
2013,False,12,266225.0,3.981916666666667,52420.0,53590.0,232.95175,1014.5799760218752,1402.824767688542,16833.897212262502,60121.06147236607,87.1907426719241,89.13681609668852,7701.061472366069,5.078691339183518,0.32113500977227205,53245.0,10.157382678367036,358504.6878627584,1889.0759901073427,80960.39957602895,70589.97366049694,71700.93757255169,36.775,65.125,28.35,3525.202200259225,6.724918352268647,0.038864990227727936
2014,False,12,285775.0,4.172833333333333,54240.0,53660.0,236.715,1114.3690486483142,1531.1242569816477,18373.491083779772,65619.61101349918,82.65821628970312,81.77433418336044,11379.611013499176,5.268713126843658,0.3387443046419575,57155.0,10.537426253687316,378713.19341472513,2029.0681720803714,86960.06451773019,71879.6382147308,75742.63868294502,35.85,64.475,28.624999999999993,3781.8281656391246,6.972397060544108,0.021255695358042503
2015,False,12,294150.0,3.849,57370.0,56520.0,237.00175,1103.0651483419451,1532.0338983419451,18384.40678010334,65658.59564322622,87.37622155632974,86.08164619772977,8288.595643226217,5.127244204287956,0.320453316717855,58830.0,10.254488408575911,389340.2294497826,2027.8172004259657,86906.4514468271,75935.57356292378,77868.04588995651,34.975,63.65,28.674999999999997,4022.369334021843,7.011276510409347,0.039546683282145
