series_id,metro,base_year,end_year,index_base,index_end,growth_pct,real_growth_pct,rank
MIXRNSA,Miami,2021,2025,307.05861766146666,439.317594949025,43.07287588761779,20.414697878583343,1
NYXRNSA,New York,2021,2025,240.92720551528336,331.1535451427083,37.44962692546625,15.68199211117145,2
CRXRNSA,Charlotte,2021,2025,207.73640716570833,283.5326809691667,36.486754939877606,14.871608322342889,3
CHXRNSA,Chicago,2021,2025,164.78544366548334,219.40609997093335,33.14652986967141,12.060368314898827,4
ATXRNSA,Atlanta,2021,2025,187.77562152363316,249.22572854445073,32.72528484912167,11.70583506345151,5
CEXRNSA,Cleveland,2021,2025,152.91209544423333,199.95101801184168,30.762067860592058,10.053528998606742,6
TPXRNSA,Tampa,2021,2025,285.80966888764164,373.2736766904416,30.602186463182292,9.918967712646243,7
DEXRNSA,Detroit,2021,2025,152.4632608257419,196.03056761337498,28.57560998739781,8.213336281492833,8
SDXRNSA,San Diego,2021,2025,344.6285359574917,440.5383461507083,27.829909652358744,7.58573108382965,9
BOXRNSA,Boston,2021,2025,272.3730500880417,347.79418350913335,27.690380306242712,7.468298733682754,10
LXXRNSA,Los Angeles,2021,2025,352.4888666845,443.5260495832083,25.826966892600424,5.899990542248301,11
LVXRNSA,Las Vegas,2021,2025,240.4352014838,301.83219016587503,25.535773590212752,5.654912966825698,12
DAXRNSA,Dallas,2021,2025,239.46214583333335,295.2198325,23.28455149878854,3.7602126169888006,13
WDXRNSA,"Washington, DC",2021,2025,276.23181491381666,334.4734097161583,21.0843181914121,1.9084260548857257,14
PHXRNSA,Phoenix,2021,2025,271.1297005868594,327.4511342082805,20.77287493753488,1.6463054741027827,15
SEXRNSA,Seattle,2021,2025,333.776266584628,393.61106958235655,17.92662001105989,-0.7491934975270675,16
MNXRNSA,Minneapolis,2021,2025,211.15067598174574,245.65273658618332,16.34001901439346,-2.084527525603197,17
DNXRNSA,Denver,2021,2025,274.86994894126667,316.72973977339166,15.228944085506214,-3.0196436407466165,18
POXRNSA,Portland,2021,2025,294.59798240823335,330.931672649775,12.33331265357851,-5.456699454996028,19
SFXRNSA,San Francisco,2021,2025,327.06041213093334,356.4280389701833,8.979266750111314,-8.279571516742678,20
